algorithm,visited_qty,generated_qty,path_size,path,start,target,cost_id,heuristic_id,cost,order,pharmacies
a_star,295,46,28,[21 30][21 29][21 28][21 27][21 26][21 25][21 24][21 23][21 22][21 21][21 20][21 19][21 18][21 17][21 16][21 15][21 14][21 13][21 12][21 11][21 10][22 10][23 10][24 10][25 10][26 10][27 10][28 10]],[28 10], [21 30],1,1,370,[0 1 2 3],[]
greedy_search,28,70,28,[21 30][21 29][22 29][22 28][23 28][23 27][24 27][24 26][25 26][25 25][26 25][26 24][27 24][27 23][28 23][28 22][28 21][28 20][28 19][28 18][28 17][28 16][28 15][28 14][28 13][28 12][28 11][28 10]],[28 10], [21 30],2,0,291,[0 1 2 3],[]
a_star,257,42,28,[21 30][21 29][22 29][22 28][23 28][23 27][23 26][24 26][24 25][24 24][24 23][24 22][25 22][26 22][26 21][26 20][26 19][26 18][27 18][28 18][28 17][28 16][28 15][28 14][28 13][28 12][28 11][28 10]],[28 10], [21 30],2,0,309,[0 1 2 3],[]
greedy_search,28,82,28,[21 30][21 29][21 28][21 27][21 26][21 25][21 24][21 23][21 22][21 21][21 20][21 19][21 18][21 17][21 16][21 15][21 14][21 13][21 12][21 11][21 10][22 10][23 10][24 10][25 10][26 10][27 10][28 10]],[28 10], [21 30],2,1,283,[0 1 2 3],[]
a_star,203,53,28,[21 30][21 29][21 28][21 27][21 26][21 25][21 24][21 23][21 22][21 21][21 20][21 19][21 18][21 17][21 16][21 15][21 14][21 13][21 12][21 11][21 10][22 10][23 10][24 10][25 10][26 10][27 10][28 10]],[28 10], [21 30],2,1,322,[0 1 2 3],[]
greedy_search,28,70,28,[21 30][21 29][22 29][22 28][23 28][23 27][24 27][24 26][25 26][25 25][26 25][26 24][27 24][27 23][28 23][28 22][28 21][28 20][28 19][28 18][28 17][28 16][28 15][28 14][28 13][28 12][28 11][28 10]],[28 10], [21 30],3,0,272,[0 1 2 3],[]
a_star,119,49,28,[21 30][21 29][22 29][23 29][23 28][23 27][23 26][23 25][24 25][25 25][25 24][26 24][27 24][28 24][28 23][28 22][28 21][28 20][28 19][28 18][28 17][28 16][28 15][28 14][28 13][28 12][28 11][28 10]],[28 10], [21 30],3,0,245,[0 1 2 3],[]
greedy_search,28,82,28,[21 30][21 29][21 28][21 27][21 26][21 25][21 24][21 23][21 22][21 21][21 20][21 19][21 18][21 17][21 16][21 15][21 14][21 13][21 12][21 11][21 10][22 10][23 10][24 10][25 10][26 10][27 10][28 10]],[28 10], [21 30],3,1,277,[0 1 2 3],[]
a_star,43,53,28,[21 30][21 29][21 28][21 27][21 26][21 25][21 24][21 23][21 22][21 21][21 20][21 19][22 19][23 19][23 18][23 17][23 16][23 15][23 14][23 13][23 12][23 11][23 10][24 10][25 10][26 10][27 10][28 10]],[28 10], [21 30],3,1,245,[0 1 2 3],[]
greedy_search,22,56,22,[26 10][26 11][25 11][25 12][24 12][24 13][23 13][23 14][22 14][22 15][21 15][21 16][21 17][21 18][21 19][21 20][21 21][21 22][21 23][21 24][21 25][21 26]],[21 26], [26 10],0,0,210,[0 1 2 3],[]
a_star,133,47,22,[26 10][26 11][25 11][25 12][24 12][24 13][23 13][23 14][22 14][22 15][21 15][21 16][21 17][21 18][21 19][21 20][21 21][21 22][21 23][21 24][21 25][21 26]],[21 26], [26 10],0,0,210,[0 1 2 3],[]
greedy_search,22,64,22,[26 10][26 11][26 12][26 13][26 14][26 15][26 16][26 17][26 18][26 19][26 20][26 21][26 22][26 23][26 24][26 25][26 26][25 26][24 26][23 26][22 26][21 26]],[21 26], [26 10],0,1,210,[0 1 2 3],[]
a_star,102,44,22,[26 10][26 11][26 12][26 13][26 14][26 15][26 16][26 17][26 18][26 19][26 20][26 21][26 22][26 23][26 24][26 25][26 26][25 26][24 26][23 26][22 26][21 26]],[21 26], [26 10],0,1,210,[0 1 2 3],[]
greedy_search,22,56,22,[26 10][26 11][25 11][25 12][24 12][24 13][23 13][23 14][22 14][22 15][21 15][21 16][21 17][21 18][21 19][21 20][21 21][21 22][21 23][21 24][21 25][21 26]],[21 26], [26 10],1,0,290,[0 1 2 3],[]
a_star,167,50,22,[26 10][25 10][25 11][24 11][23 11][23 12][22 12][21 12][21 13][21 14][21 15][21 16][21 17][21 18][21 19][21 20][21 21][21 22][21 23][21 24][21 25][21 26]],[21 26], [26 10],1,0,235,[0 1 2 3],[]
greedy_search,22,64,22,[26 10][26 11][26 12][26 13][26 14][26 15][26 16][26 17][26 18][26 19][26 20][26 21][26 22][26 23][26 24][26 25][26 26][25 26][24 26][23 26][22 26][21 26]],[21 26], [26 10],1,1,290,[0 1 2 3],[]
a_star,122,46,22,[26 10][25 10][24 10][23 10][22 10][21 10][21 11][21 12][21 13][21 14][21 15][21 16][21 17][21 18][21 19][21 20][21 21][21 22][21 23][21 24][21 25][21 26]],[21 26], [26 10],1,1,235,[0 1 2 3],[]
greedy_search,22,56,22,[26 10][26 11][25 11][25 12][24 12][24 13][23 13][23 14][22 14][22 15][21 15][21 16][21 17][21 18][21 19][21 20][21 21][21 22][21 23][21 24][21 25][21 26]],[21 26], [26 10],2,0,247,[0 1 2 3],[]
a_star,148,49,22,[26 10][25 10][25 11][24 11][24 12][23 12][22 12][22 13][21 13][21 14][21 15][21 16][21 17][21 18][21 19][21 20][21 21][21 22][21 23][21 24][21 25][21 26]],[21 26], [26 10],2,0,224,[0 1 2 3],[]
greedy_search,22,64,22,[26 10][26 11][26 12][26 13][26 14][26 15][26 16][26 17][26 18][26 19][26 20][26 21][26 22][26 23][26 24][26 25][26 26][25 26][24 26][23 26][22 26][21 26]],[21 26], [26 10],2,1,250,[0 1 2 3],[]
a_star,75,47,22,[26 10][25 10][24 10][24 11][24 12][23 12][23 13][23 14][23 15][23 16][23 17][22 17][22 18][22 19][22 20][22 21][22 22][21 22][21 23][21 24][21 25][21 26]],[21 26], [26 10],2,1,217,[0 1 2 3],[]
greedy_search,22,56,22,[26 10][26 11][25 11][25 12][24 12][24 13][23 13][23 14][22 14][22 15][21 15][21 16][21 17][21 18][21 19][21 20][21 21][21 22][21 23][21 24][21 25][21 26]],[21 26], [26 10],3,0,200,[0 1 2 3],[]
a_star,126,43,22,[26 10][25 10][25 11][24 11][24 12][23 12][23 13][23 14][23 15][23 16][23 17][23 18][22 18][21 18][21 19][21 20][21 21][21 22][21 23][21 24][21 25][21 26]],[21 26], [26 10],3,0,202,[0 1 2 3],[]
greedy_search,22,64,22,[26 10][26 11][26 12][26 13][26 14][26 15][26 16][26 17][26 18][26 19][26 20][26 21][26 22][26 23][26 24][26 25][26 26][25 26][24 26][23 26][22 26][21 26]],[21 26], [26 10],3,1,195,[0 1 2 3],[]
a_star,22,41,22,[26 10][26 11][26 12][26 13][26 14][26 15][26 16][26 17][26 18][26 19][26 20][26 21][26 22][25 22][24 22][23 22][22 22][21 22][21 23][21 24][21 25][21 26]],[21 26], [26 10],3,1,200,[0 1 2 3],[]
greedy_search,43,92,43,[30 30][30 29][29 29][29 28][28 28][28 27][27 27][27 26][26 26][26 25][25 25][25 24][24 24][24 23][23 23][23 22][22 22][22 21][21 21][21 20][20 20][20 19][19 19][19 18][18 18][18 17][17 17][17 16][16 16][16 15][15 15][15 14][14 14][14 13][13 13][13 12][12 12][12 11][12 10][12 9][12 8][12 7][12 6]],[12 6], [30 30],0,0,420,[0 1 2 3],[]
a_star,647,48,43,[30 30][30 29][29 29][29 28][28 28][28 27][27 27][27 26][26 26][26 25][25 25][25 24][24 24][24 23][23 23][23 22][22 22][22 21][21 21][21 20][20 20][20 19][19 19][19 18][18 18][18 17][17 17][17 16][16 16][16 15][15 15][15 14][14 14][14 13][13 13][13 12][12 12][12 11][12 10][12 9][12 8][12 7][12 6]],[12 6], [30 30],0,0,420,[0 1 2 3],[]
greedy_search,43,103,43,[30 30][30 29][30 28][30 27][30 26][30 25][30 24][30 23][30 22][30 21][30 20][30 19][30 18][30 17][30 16][30 15][30 14][30 13][30 12][30 11][30 10][30 9][30 8][30 7][30 6][29 6][28 6][27 6][26 6][25 6][24 6][23 6][22 6][21 6][20 6][19 6][18 6][17 6][16 6][15 6][14 6][13 6][12 6]],[12 6], [30 30],0,1,420,[0 1 2 3],[]
a_star,475,44,43,[30 30][30 29][30 28][30 27][30 26][30 25][30 24][30 23][30 22][30 21][30 20][30 19][30 18][30 17][30 16][30 15][30 14][30 13][30 12][30 11][30 10][30 9][30 8][30 7][30 6][29 6][28 6][27 6][26 6][25 6][24 6][23 6][22 6][21 6][20 6][19 6][18 6][17 6][16 6][15 6][14 6][13 6][12 6]],[12 6], [30 30],0,1,420,[0 1 2 3],[]
greedy_search,43,92,43,[30 30][30 29][29 29][29 28][28 28][28 27][27 27][27 26][26 26][26 25][25 25][25 24][24 24][24 23][23 23][23 22][22 22][22 21][21 21][21 20][20 20][20 19][19 19][19 18][18 18][18 17][17 17][17 16][16 16][16 15][15 15][15 14][14 14][14 13][13 13][13 12][12 12][12 11][12 10][12 9][12 8][12 7][12 6]],[12 6], [30 30],1,0,420,[0 1 2 3],[]
a_star,910,12,43,[30 30][30 29][29 29][29 28][28 28][28 27][27 27][27 26][26 26][26 25][25 25][25 24][24 24][24 23][23 23][23 22][22 22][22 21][21 21][21 20][20 20][20 19][19 19][19 18][18 18][18 17][17 17][17 16][16 16][16 15][15 15][15 14][14 14][14 13][13 13][13 12][12 12][12 11][12 10][12 9][12 8][12 7][12 6]],[12 6], [30 30],1,0,630,[0 1 2 3],[]
greedy_search,43,103,43,[30 30][30 29][30 28][30 27][30 26][30 25][30 24][30 23][30 22][30 21][30 20][30 19][30 18][30 17][30 16][30 15][30 14][30 13][30 12][30 11][30 10][30 9][30 8][30 7][30 6][29 6][28 6][27 6][26 6][25 6][24 6][23 6][22 6][21 6][20 6][19 6][18 6][17 6][16 6][15 6][14 6][13 6][12 6]],[12 6], [30 30],1,1,420,[0 1 2 3],[]
a_star,806,31,43,[30 30][30 29][30 28][30 27][30 26][30 25][30 24][30 23][30 22][30 21][30 20][30 19][30 18][30 17][30 16][30 15][30 14][30 13][30 12][30 11][30 10][30 9][30 8][30 7][30 6][29 6][28 6][27 6][26 6][25 6][24 6][23 6][22 6][21 6][20 6][19 6][18 6][17 6][16 6][15 6][14 6][13 6][12 6]],[12 6], [30 30],1,1,630,[0 1 2 3],[]
greedy_search,43,92,43,[30 30][30 29][29 29][29 28][28 28][28 27][27 27][27 26][26 26][26 25][25 25][25 24][24 24][24 23][23 23][23 22][22 22][22 21][21 21][21 20][20 20][20 19][19 19][19 18][18 18][18 17][17 17][17 16][16 16][16 15][15 15][15 14][14 14][14 13][13 13][13 12][12 12][12 11][12 10][12 9][12 8][12 7][12 6]],[12 6], [30 30],2,0,420,[0 1 2 3],[]
a_star,825,33,43,[30 30][30 29][29 29][29 28][28 28][28 27][27 27][27 26][26 26][26 25][25 25][25 24][24 24][24 23][23 23][23 22][22 22][22 21][21 21][21 20][20 20][20 19][19 19][19 18][18 18][18 17][17 17][17 16][16 16][16 15][15 15][15 14][14 14][14 13][13 13][13 12][12 12][12 11][12 10][12 9][12 8][12 7][12 6]],[12 6], [30 30],2,0,521,[0 1 2 3],[]
greedy_search,43,103,43,[30 30][30 29][30 28][30 27][30 26][30 25][30 24][30 23][30 22][30 21][30 20][30 19][30 18][30 17][30 16][30 15][30 14][30 13][30 12][30 11][30 10][30 9][30 8][30 7][30 6][29 6][28 6][27 6][26 6][25 6][24 6][23 6][22 6][21 6][20 6][19 6][18 6][17 6][16 6][15 6][14 6][13 6][12 6]],[12 6], [30 30],2,1,420,[0 1 2 3],[]
a_star,633,49,43,[30 30][30 29][30 28][30 27][30 26][30 25][30 24][30 23][30 22][30 21][30 20][30 19][30 18][30 17][30 16][30 15][30 14][30 13][30 12][30 11][30 10][30 9][30 8][30 7][30 6][29 6][28 6][27 6][26 6][25 6][24 6][23 6][22 6][21 6][20 6][19 6][18 6][17 6][16 6][15 6][14 6][13 6][12 6]],[12 6], [30 30],2,1,521,[0 1 2 3],[]
greedy_search,43,92,43,[30 30][30 29][29 29][29 28][28 28][28 27][27 27][27 26][26 26][26 25][25 25][25 24][24 24][24 23][23 23][23 22][22 22][22 21][21 21][21 20][20 20][20 19][19 19][19 18][18 18][18 17][17 17][17 16][16 16][16 15][15 15][15 14][14 14][14 13][13 13][13 12][12 12][12 11][12 10][12 9][12 8][12 7][12 6]],[12 6], [30 30],3,0,420,[0 1 2 3],[]
a_star,605,54,43,[30 30][30 29][29 29][29 28][28 28][28 27][27 27][27 26][26 26][26 25][25 25][25 24][24 24][24 23][23 23][23 22][22 22][22 21][21 21][21 20][20 20][20 19][19 19][19 18][18 18][18 17][17 17][17 16][16 16][16 15][15 15][15 14][14 14][14 13][13 13][13 12][12 12][12 11][12 10][12 9][12 8][12 7][12 6]],[12 6], [30 30],3,0,420,[0 1 2 3],[]
greedy_search,43,103,43,[30 30][30 29][30 28][30 27][30 26][30 25][30 24][30 23][30 22][30 21][30 20][30 19][30 18][30 17][30 16][30 15][30 14][30 13][30 12][30 11][30 10][30 9][30 8][30 7][30 6][29 6][28 6][27 6][26 6][25 6][24 6][23 6][22 6][21 6][20 6][19 6][18 6][17 6][16 6][15 6][14 6][13 6][12 6]],[12 6], [30 30],3,1,420,[0 1 2 3],[]
a_star,186,126,43,[30 30][30 29][30 28][30 27][30 26][30 25][30 24][30 23][30 22][30 21][30 20][30 19][30 18][30 17][30 16][30 15][30 14][30 13][30 12][30 11][30 10][30 9][30 8][30 7][30 6][29 6][28 6][27 6][26 6][25 6][24 6][23 6][22 6][21 6][20 6][19 6][18 6][17 6][16 6][15 6][14 6][13 6][12 6]],[12 6], [30 30],3,1,420,[0 1 2 3],[]
greedy_search,24,67,24,[23 20][23 19][22 19][22 18][21 18][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17]],[3 17], [23 20],0,0,230,[0 1 2 3],[]
