algorithm,visited_qty,generated_qty,path_size,path,start,target,cost_id,heuristic_id,cost,order
bfs,3579,931,36,[[1 2][1 3][1 4][1 5][1 6][1 7][1 8][1 9][1 10][1 11][1 12][1 13][1 14][1 15][1 16][1 17][1 18][1 19][1 20][1 21][1 22][1 23][1 24][2 24][3 24][4 24][5 24][6 24][7 24][8 24][9 24][10 24][11 24][12 24][13 24][14 24]], [14 24], [1 2],3,-1,350,"[0 1 2 3]"
dfs,2550,926,232,[[1 2][2 2][2 3][2 4][2 5][2 6][2 7][2 8][2 9][2 10][2 11][2 12][2 13][2 14][2 15][2 16][2 17][2 18][2 19][2 20][2 21][2 22][2 23][2 24][2 25][2 26][2 27][2 28][2 29][2 30][3 30][4 30][4 29][4 28][4 27][4 26][4 25][4 24][4 23][4 22][4 21][4 20][4 19][4 18][4 17][4 16][4 15][4 14][4 13][4 12][4 11][4 10][4 9][4 8][4 7][4 6][4 5][4 4][4 3][4 2][4 1][4 0][5 0][6 0][6 1][6 2][6 3][6 4][6 5][6 6][6 7][6 8][6 9][6 10][6 11][6 12][6 13][6 14][6 15][6 16][6 17][6 18][6 19][6 20][6 21][6 22][6 23][6 24][6 25][6 26][6 27][6 28][6 29][6 30][7 30][8 30][8 29][8 28][8 27][8 26][8 25][8 24][8 23][8 22][8 21][8 20][8 19][8 18][8 17][8 16][8 15][8 14][8 13][8 12][8 11][8 10][8 9][8 8][8 7][8 6][8 5][8 4][8 3][8 2][8 1][8 0][9 0][10 0][10 1][10 2][10 3][10 4][10 5][10 6][10 7][10 8][10 9][10 10][10 11][10 12][10 13][10 14][10 15][10 16][10 17][10 18][10 19][10 20][10 21][10 22][10 23][10 24][10 25][10 26][10 27][10 28][10 29][10 30][11 30][12 30][12 29][12 28][12 27][12 26][12 25][12 24][12 23][13 23][13 22][14 22][14 21][14 20][14 19][14 18][14 17][14 16][14 15][14 14][14 13][14 12][14 11][14 10][14 9][14 8][14 7][14 6][14 5][14 4][14 3][14 2][14 1][14 0][15 0][16 0][16 1][16 2][16 3][16 4][16 5][16 6][16 7][16 8][16 9][16 10][16 11][16 12][16 13][16 14][16 15][16 16][16 17][16 18][16 19][16 20][16 21][16 22][16 23][16 24][16 25][16 26][16 27][16 28][16 29][16 30][15 30][14 30][14 29][14 28][14 27][14 26][14 25][14 24]], [14 24], [1 2],3,-1,2306,"[0 1 2 3]"
dijkstra,1778,488,20,[[5 24][5 23][5 22][5 21][5 20][5 19][5 18][5 17][5 16][5 15][5 14][5 13][5 12][5 11][5 10][5 9][5 8][5 7][6 7][7 7]], [7 7], [5 24],0,-1,190,"[0 1 2 3]"
bfs,1652,454,20,[[5 24][5 23][5 22][5 21][5 20][5 19][5 18][5 17][5 16][5 15][5 14][5 13][5 12][5 11][5 10][5 9][5 8][5 7][6 7][7 7]], [7 7], [5 24],0,-1,190,"[0 1 2 3]"
dfs,2740,813,84,[[5 24][5 23][5 22][5 21][5 20][5 19][5 18][5 17][5 16][5 15][5 14][5 13][5 12][5 11][5 10][5 9][5 8][5 7][5 6][6 6][6 5][7 5][7 4][7 3][7 2][7 1][7 0][8 0][9 0][9 1][9 2][9 3][9 4][9 5][9 6][9 7][9 8][9 9][9 10][9 11][9 12][9 13][9 14][9 15][9 16][9 17][9 18][9 19][9 20][9 21][9 22][9 23][9 24][9 25][9 26][9 27][9 28][9 29][9 30][8 30][7 30][7 29][7 28][7 27][7 26][7 25][7 24][7 23][7 22][7 21][7 20][7 19][7 18][7 17][7 16][7 15][7 14][7 13][7 12][7 11][7 10][7 9][7 8][7 7]], [7 7], [5 24],0,-1,830,"[0 1 2 3]"
dijkstra,1811,497,20,[[5 24][5 23][5 22][5 21][5 20][5 19][5 18][5 17][5 16][5 15][5 14][5 13][5 12][5 11][5 10][5 9][5 8][5 7][6 7][7 7]], [7 7], [5 24],1,-1,275,"[0 1 2 3]"
bfs,1652,454,20,[[5 24][5 23][5 22][5 21][5 20][5 19][5 18][5 17][5 16][5 15][5 14][5 13][5 12][5 11][5 10][5 9][5 8][5 7][6 7][7 7]], [7 7], [5 24],1,-1,275,"[0 1 2 3]"
dfs,2740,813,84,[[5 24][5 23][5 22][5 21][5 20][5 19][5 18][5 17][5 16][5 15][5 14][5 13][5 12][5 11][5 10][5 9][5 8][5 7][5 6][6 6][6 5][7 5][7 4][7 3][7 2][7 1][7 0][8 0][9 0][9 1][9 2][9 3][9 4][9 5][9 6][9 7][9 8][9 9][9 10][9 11][9 12][9 13][9 14][9 15][9 16][9 17][9 18][9 19][9 20][9 21][9 22][9 23][9 24][9 25][9 26][9 27][9 28][9 29][9 30][8 30][7 30][7 29][7 28][7 27][7 26][7 25][7 24][7 23][7 22][7 21][7 20][7 19][7 18][7 17][7 16][7 15][7 14][7 13][7 12][7 11][7 10][7 9][7 8][7 7]], [7 7], [5 24],1,-1,1075,"[0 1 2 3]"
dijkstra,2060,564,20,[[5 24][5 23][5 22][5 21][6 21][6 20][6 19][6 18][6 17][6 16][7 16][7 15][7 14][7 13][7 12][7 11][7 10][7 9][7 8][7 7]], [7 7], [5 24],2,-1,223,"[0 1 2 3]"
bfs,1652,454,20,[[5 24][5 23][5 22][5 21][5 20][5 19][5 18][5 17][5 16][5 15][5 14][5 13][5 12][5 11][5 10][5 9][5 8][5 7][6 7][7 7]], [7 7], [5 24],2,-1,226,"[0 1 2 3]"
dfs,2740,813,84,[[5 24][5 23][5 22][5 21][5 20][5 19][5 18][5 17][5 16][5 15][5 14][5 13][5 12][5 11][5 10][5 9][5 8][5 7][5 6][6 6][6 5][7 5][7 4][7 3][7 2][7 1][7 0][8 0][9 0][9 1][9 2][9 3][9 4][9 5][9 6][9 7][9 8][9 9][9 10][9 11][9 12][9 13][9 14][9 15][9 16][9 17][9 18][9 19][9 20][9 21][9 22][9 23][9 24][9 25][9 26][9 27][9 28][9 29][9 30][8 30][7 30][7 29][7 28][7 27][7 26][7 25][7 24][7 23][7 22][7 21][7 20][7 19][7 18][7 17][7 16][7 15][7 14][7 13][7 12][7 11][7 10][7 9][7 8][7 7]], [7 7], [5 24],2,-1,949,"[0 1 2 3]"
dijkstra,2023,563,20,[[5 24][6 24][6 23][6 22][6 21][6 20][6 19][6 18][6 17][6 16][6 15][6 14][6 13][6 12][6 11][6 10][6 9][6 8][6 7][7 7]], [7 7], [5 24],3,-1,177,"[0 1 2 3]"
bfs,1652,454,20,[[5 24][5 23][5 22][5 21][5 20][5 19][5 18][5 17][5 16][5 15][5 14][5 13][5 12][5 11][5 10][5 9][5 8][5 7][6 7][7 7]], [7 7], [5 24],3,-1,178,"[0 1 2 3]"
dfs,2740,813,84,[[5 24][5 23][5 22][5 21][5 20][5 19][5 18][5 17][5 16][5 15][5 14][5 13][5 12][5 11][5 10][5 9][5 8][5 7][5 6][6 6][6 5][7 5][7 4][7 3][7 2][7 1][7 0][8 0][9 0][9 1][9 2][9 3][9 4][9 5][9 6][9 7][9 8][9 9][9 10][9 11][9 12][9 13][9 14][9 15][9 16][9 17][9 18][9 19][9 20][9 21][9 22][9 23][9 24][9 25][9 26][9 27][9 28][9 29][9 30][8 30][7 30][7 29][7 28][7 27][7 26][7 25][7 24][7 23][7 22][7 21][7 20][7 19][7 18][7 17][7 16][7 15][7 14][7 13][7 12][7 11][7 10][7 9][7 8][7 7]], [7 7], [5 24],3,-1,818,"[0 1 2 3]"
dijkstra,1960,535,23,[[23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17][2 17]], [2 17], [23 18],0,-1,220,"[0 1 2 3]"
bfs,1834,502,23,[[23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17][2 17]], [2 17], [23 18],0,-1,220,"[0 1 2 3]"
dfs,1258,656,323,[[23 18][22 18][22 17][22 16][22 15][22 14][22 13][22 12][22 11][22 10][22 9][22 8][22 7][22 6][22 5][22 4][22 3][22 2][22 1][22 0][21 0][20 0][20 1][20 2][20 3][20 4][20 5][20 6][20 7][20 8][20 9][20 10][20 11][20 12][20 13][20 14][20 15][20 16][20 17][20 18][20 19][20 20][20 21][20 22][20 23][20 24][20 25][20 26][20 27][20 28][20 29][20 30][19 30][18 30][18 29][18 28][18 27][18 26][18 25][18 24][18 23][18 22][18 21][18 20][18 19][18 18][18 17][18 16][18 15][18 14][18 13][18 12][18 11][18 10][18 9][18 8][18 7][18 6][18 5][18 4][18 3][18 2][18 1][18 0][17 0][16 0][16 1][16 2][16 3][16 4][16 5][16 6][16 7][16 8][16 9][16 10][16 11][16 12][16 13][16 14][16 15][16 16][16 17][16 18][16 19][16 20][16 21][16 22][16 23][16 24][16 25][16 26][16 27][16 28][16 29][16 30][15 30][14 30][14 29][14 28][14 27][14 26][14 25][14 24][14 23][14 22][14 21][14 20][14 19][14 18][14 17][14 16][14 15][14 14][14 13][14 12][14 11][14 10][14 9][14 8][14 7][14 6][14 5][14 4][14 3][14 2][14 1][14 0][13 0][12 0][12 1][12 2][12 3][12 4][12 5][12 6][12 7][12 8][12 9][12 10][12 11][12 12][12 13][12 14][12 15][12 16][12 17][12 18][12 19][12 20][12 21][12 22][12 23][12 24][12 25][12 26][12 27][12 28][12 29][12 30][11 30][10 30][10 29][10 28][10 27][10 26][10 25][10 24][10 23][10 22][10 21][10 20][10 19][10 18][10 17][10 16][10 15][10 14][10 13][10 12][10 11][10 10][10 9][10 8][10 7][10 6][10 5][10 4][10 3][10 2][10 1][10 0][9 0][8 0][8 1][8 2][8 3][8 4][8 5][8 6][8 7][8 8][8 9][8 10][8 11][8 12][8 13][8 14][8 15][8 16][8 17][8 18][8 19][8 20][8 21][8 22][8 23][8 24][8 25][8 26][8 27][8 28][8 29][8 30][7 30][6 30][6 29][6 28][6 27][6 26][6 25][6 24][6 23][6 22][6 21][6 20][6 19][6 18][6 17][6 16][6 15][6 14][6 13][6 12][6 11][6 10][6 9][6 8][6 7][6 6][6 5][6 4][6 3][6 2][6 1][6 0][5 0][4 0][4 1][4 2][4 3][4 4][4 5][4 6][4 7][4 8][4 9][4 10][4 11][4 12][4 13][4 14][4 15][4 16][4 17][4 18][4 19][4 20][4 21][4 22][4 23][4 24][4 25][4 26][4 27][4 28][4 29][4 30][3 30][2 30][2 29][2 28][2 27][2 26][2 25][2 24][2 23][2 22][2 21][2 20][2 19][2 18][2 17]], [2 17], [23 18],0,-1,3220,"[0 1 2 3]"
dijkstra,2178,590,23,[[23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17][2 17]], [2 17], [23 18],1,-1,330,"[0 1 2 3]"
bfs,1834,502,23,[[23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17][2 17]], [2 17], [23 18],1,-1,330,"[0 1 2 3]"
dfs,1258,656,323,[[23 18][22 18][22 17][22 16][22 15][22 14][22 13][22 12][22 11][22 10][22 9][22 8][22 7][22 6][22 5][22 4][22 3][22 2][22 1][22 0][21 0][20 0][20 1][20 2][20 3][20 4][20 5][20 6][20 7][20 8][20 9][20 10][20 11][20 12][20 13][20 14][20 15][20 16][20 17][20 18][20 19][20 20][20 21][20 22][20 23][20 24][20 25][20 26][20 27][20 28][20 29][20 30][19 30][18 30][18 29][18 28][18 27][18 26][18 25][18 24][18 23][18 22][18 21][18 20][18 19][18 18][18 17][18 16][18 15][18 14][18 13][18 12][18 11][18 10][18 9][18 8][18 7][18 6][18 5][18 4][18 3][18 2][18 1][18 0][17 0][16 0][16 1][16 2][16 3][16 4][16 5][16 6][16 7][16 8][16 9][16 10][16 11][16 12][16 13][16 14][16 15][16 16][16 17][16 18][16 19][16 20][16 21][16 22][16 23][16 24][16 25][16 26][16 27][16 28][16 29][16 30][15 30][14 30][14 29][14 28][14 27][14 26][14 25][14 24][14 23][14 22][14 21][14 20][14 19][14 18][14 17][14 16][14 15][14 14][14 13][14 12][14 11][14 10][14 9][14 8][14 7][14 6][14 5][14 4][14 3][14 2][14 1][14 0][13 0][12 0][12 1][12 2][12 3][12 4][12 5][12 6][12 7][12 8][12 9][12 10][12 11][12 12][12 13][12 14][12 15][12 16][12 17][12 18][12 19][12 20][12 21][12 22][12 23][12 24][12 25][12 26][12 27][12 28][12 29][12 30][11 30][10 30][10 29][10 28][10 27][10 26][10 25][10 24][10 23][10 22][10 21][10 20][10 19][10 18][10 17][10 16][10 15][10 14][10 13][10 12][10 11][10 10][10 9][10 8][10 7][10 6][10 5][10 4][10 3][10 2][10 1][10 0][9 0][8 0][8 1][8 2][8 3][8 4][8 5][8 6][8 7][8 8][8 9][8 10][8 11][8 12][8 13][8 14][8 15][8 16][8 17][8 18][8 19][8 20][8 21][8 22][8 23][8 24][8 25][8 26][8 27][8 28][8 29][8 30][7 30][6 30][6 29][6 28][6 27][6 26][6 25][6 24][6 23][6 22][6 21][6 20][6 19][6 18][6 17][6 16][6 15][6 14][6 13][6 12][6 11][6 10][6 9][6 8][6 7][6 6][6 5][6 4][6 3][6 2][6 1][6 0][5 0][4 0][4 1][4 2][4 3][4 4][4 5][4 6][4 7][4 8][4 9][4 10][4 11][4 12][4 13][4 14][4 15][4 16][4 17][4 18][4 19][4 20][4 21][4 22][4 23][4 24][4 25][4 26][4 27][4 28][4 29][4 30][3 30][2 30][2 29][2 28][2 27][2 26][2 25][2 24][2 23][2 22][2 21][2 20][2 19][2 18][2 17]], [2 17], [23 18],1,-1,4080,"[0 1 2 3]"
dijkstra,2581,697,23,[[23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17][2 17]], [2 17], [23 18],2,-1,275,"[0 1 2 3]"
bfs,1834,502,23,[[23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17][2 17]], [2 17], [23 18],2,-1,275,"[0 1 2 3]"
dfs,1258,656,323,[[23 18][22 18][22 17][22 16][22 15][22 14][22 13][22 12][22 11][22 10][22 9][22 8][22 7][22 6][22 5][22 4][22 3][22 2][22 1][22 0][21 0][20 0][20 1][20 2][20 3][20 4][20 5][20 6][20 7][20 8][20 9][20 10][20 11][20 12][20 13][20 14][20 15][20 16][20 17][20 18][20 19][20 20][20 21][20 22][20 23][20 24][20 25][20 26][20 27][20 28][20 29][20 30][19 30][18 30][18 29][18 28][18 27][18 26][18 25][18 24][18 23][18 22][18 21][18 20][18 19][18 18][18 17][18 16][18 15][18 14][18 13][18 12][18 11][18 10][18 9][18 8][18 7][18 6][18 5][18 4][18 3][18 2][18 1][18 0][17 0][16 0][16 1][16 2][16 3][16 4][16 5][16 6][16 7][16 8][16 9][16 10][16 11][16 12][16 13][16 14][16 15][16 16][16 17][16 18][16 19][16 20][16 21][16 22][16 23][16 24][16 25][16 26][16 27][16 28][16 29][16 30][15 30][14 30][14 29][14 28][14 27][14 26][14 25][14 24][14 23][14 22][14 21][14 20][14 19][14 18][14 17][14 16][14 15][14 14][14 13][14 12][14 11][14 10][14 9][14 8][14 7][14 6][14 5][14 4][14 3][14 2][14 1][14 0][13 0][12 0][12 1][12 2][12 3][12 4][12 5][12 6][12 7][12 8][12 9][12 10][12 11][12 12][12 13][12 14][12 15][12 16][12 17][12 18][12 19][12 20][12 21][12 22][12 23][12 24][12 25][12 26][12 27][12 28][12 29][12 30][11 30][10 30][10 29][10 28][10 27][10 26][10 25][10 24][10 23][10 22][10 21][10 20][10 19][10 18][10 17][10 16][10 15][10 14][10 13][10 12][10 11][10 10][10 9][10 8][10 7][10 6][10 5][10 4][10 3][10 2][10 1][10 0][9 0][8 0][8 1][8 2][8 3][8 4][8 5][8 6][8 7][8 8][8 9][8 10][8 11][8 12][8 13][8 14][8 15][8 16][8 17][8 18][8 19][8 20][8 21][8 22][8 23][8 24][8 25][8 26][8 27][8 28][8 29][8 30][7 30][6 30][6 29][6 28][6 27][6 26][6 25][6 24][6 23][6 22][6 21][6 20][6 19][6 18][6 17][6 16][6 15][6 14][6 13][6 12][6 11][6 10][6 9][6 8][6 7][6 6][6 5][6 4][6 3][6 2][6 1][6 0][5 0][4 0][4 1][4 2][4 3][4 4][4 5][4 6][4 7][4 8][4 9][4 10][4 11][4 12][4 13][4 14][4 15][4 16][4 17][4 18][4 19][4 20][4 21][4 22][4 23][4 24][4 25][4 26][4 27][4 28][4 29][4 30][3 30][2 30][2 29][2 28][2 27][2 26][2 25][2 24][2 23][2 22][2 21][2 20][2 19][2 18][2 17]], [2 17], [23 18],2,-1,3650,"[0 1 2 3]"
dijkstra,2448,659,23,[[23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17][2 17]], [2 17], [23 18],3,-1,211,"[0 1 2 3]"
bfs,1834,502,23,[[23 18][23 17][22 17][21 17][20 17][19 17][18 17][17 17][16 17][15 17][14 17][13 17][12 17][11 17][10 17][9 17][8 17][7 17][6 17][5 17][4 17][3 17][2 17]], [2 17], [23 18],3,-1,211,"[0 1 2 3]"
