algorithm,visited_qty,generated_qty,path_size,path,start,target,cost_id,heuristic_id,cost,order,pharmacies
dfs,775,901,93,[[1 12][1 13][1 14][1 15][1 16][1 17][1 18][1 19][1 20][1 21][1 22][1 23][1 24][1 25][1 26][1 27][1 28][1 29][1 30][2 30][3 30][3 29][3 28][3 27][3 26][3 25][3 24][3 23][4 23][4 22][5 22][5 21][5 20][5 19][5 18][5 17][5 16][5 15][5 14][5 13][5 12][5 11][5 10][5 9][5 8][5 7][5 6][5 5][5 4][5 3][5 2][5 1][5 0][6 0][7 0][7 1][7 2][7 3][7 4][7 5][7 6][7 7][7 8][7 9][7 10][7 11][7 12][7 13][7 14][7 15][7 16][7 17][7 18][7 19][7 20][7 21][7 22][7 23][7 24][7 25][7 26][7 27][7 28][7 29][7 30][6 30][5 30][5 29][5 28][5 27][5 26][5 25][5 24]],[5 24], [1 12],2,-1,1008,[0 1 2 3],[]
dijkstra,390,424,17,[[1 12][1 13][1 14][1 15][1 16][1 17][1 18][1 19][1 20][1 21][1 22][1 23][1 24][2 24][3 24][4 24][5 24]],[5 24], [1 12],3,-1,160,[0 1 2 3],[]
bfs,281,308,17,[[1 12][1 13][1 14][1 15][1 16][1 17][1 18][1 19][1 20][1 21][1 22][1 23][1 24][2 24][3 24][4 24][5 24]],[5 24], [1 12],3,-1,160,[0 1 2 3],[]
dfs,775,901,93,[[1 12][1 13][1 14][1 15][1 16][1 17][1 18][1 19][1 20][1 21][1 22][1 23][1 24][1 25][1 26][1 27][1 28][1 29][1 30][2 30][3 30][3 29][3 28][3 27][3 26][3 25][3 24][3 23][4 23][4 22][5 22][5 21][5 20][5 19][5 18][5 17][5 16][5 15][5 14][5 13][5 12][5 11][5 10][5 9][5 8][5 7][5 6][5 5][5 4][5 3][5 2][5 1][5 0][6 0][7 0][7 1][7 2][7 3][7 4][7 5][7 6][7 7][7 8][7 9][7 10][7 11][7 12][7 13][7 14][7 15][7 16][7 17][7 18][7 19][7 20][7 21][7 22][7 23][7 24][7 25][7 26][7 27][7 28][7 29][7 30][6 30][5 30][5 29][5 28][5 27][5 26][5 25][5 24]],[5 24], [1 12],3,-1,922,[0 1 2 3],[]
dijkstra,72,96,7,[[24 13][24 12][24 11][24 10][24 9][24 8][25 8]],[25 8], [24 13],0,-1,60,[0 1 2 3],[]
bfs,50,72,7,[[24 13][24 12][24 11][24 10][24 9][24 8][25 8]],[25 8], [24 13],0,-1,60,[0 1 2 3],[]
dfs,6,18,7,[[24 13][25 13][25 12][25 11][25 10][25 9][25 8]],[25 8], [24 13],0,-1,60,[0 1 2 3],[]
dijkstra,98,128,7,[[24 13][24 12][24 11][24 10][24 9][24 8][25 8]],[25 8], [24 13],1,-1,85,[0 1 2 3],[]
bfs,50,72,7,[[24 13][24 12][24 11][24 10][24 9][24 8][25 8]],[25 8], [24 13],1,-1,85,[0 1 2 3],[]
dfs,6,18,7,[[24 13][25 13][25 12][25 11][25 10][25 9][25 8]],[25 8], [24 13],1,-1,85,[0 1 2 3],[]
dijkstra,78,108,7,[[24 13][24 12][24 11][24 10][24 9][24 8][25 8]],[25 8], [24 13],2,-1,67,[0 1 2 3],[]
bfs,50,72,7,[[24 13][24 12][24 11][24 10][24 9][24 8][25 8]],[25 8], [24 13],2,-1,67,[0 1 2 3],[]
dfs,6,18,7,[[24 13][25 13][25 12][25 11][25 10][25 9][25 8]],[25 8], [24 13],2,-1,70,[0 1 2 3],[]
dijkstra,78,106,7,[[24 13][24 12][24 11][24 10][24 9][24 8][25 8]],[25 8], [24 13],3,-1,65,[0 1 2 3],[]
bfs,50,72,7,[[24 13][24 12][24 11][24 10][24 9][24 8][25 8]],[25 8], [24 13],3,-1,65,[0 1 2 3],[]
dfs,6,18,7,[[24 13][25 13][25 12][25 11][25 10][25 9][25 8]],[25 8], [24 13],3,-1,70,[0 1 2 3],[]
